global_step,episode_num,episode_reward,episode_length,success_rate,avg_reward_100,policy_loss,value_loss,entropy,learning_rate,fps,eta_seconds,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,ee_to_cube_dist,cube_to_goal_dist,is_grasped,timestamp
0,0,-50.0,300,0.0,-49.98043502076803,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
5000,250,-50.0,300,0.0,-49.95210926970163,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
10000,500,-50.0,300,0.0,-50.1456921725969,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
15000,750,-50.0,300,0.0,-50.03812426259811,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
20000,1000,-50.0,300,0.0,-49.956266674401185,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
25000,1250,-50.0,300,0.0,-50.01902905479695,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
30000,1500,-50.0,300,0.0,-49.99770076191458,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
35000,1750,-50.0,300,0.0,-50.02276044770528,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
40000,2000,-50.0,300,0.0,-50.09165532673479,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
45000,2250,-50.0,300,0.0,-49.967002642646705,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
50000,2500,-50.0,300,0.0,-50.12403992057573,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
55000,2750,-50.0,300,0.0,-49.9640732810741,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
60000,3000,-50.0,300,0.0,-50.14984142872493,-0.01,5.0,0.05,0.0003,800,100,0.1,0.1,0.8,0.16,0.02,0.8,0.1,0.3,False,x
