global_step,episode_num,episode_reward,episode_length,success_rate,avg_reward_100,policy_loss,value_loss,entropy,learning_rate,fps,eta_seconds,ee_x,ee_y,ee_z,cube_x,cube_y,cube_z,ee_to_cube_dist,cube_to_goal_dist,is_grasped,timestamp
5008,54,21.744383,70,0.9074074074074074,15.164725796296295,,,,,3496.8255548870648,570.5151625913553,0.1465186709902759,0.043427687059418865,0.8020017308527503,0.16530306653443202,0.1165359165493359,0.8029067489505952,0.07548831560491406,0.3765732584322964,False,2026-08-07T18:17:32.125652+00:00
10016,97,23.115267,20,0.8556701030927835,6.235336134020618,-0.009502879292995203,20.542145428061485,0.42401227802038194,0.0003,1735.8222894493451,1146.421504145613,0.15199009126404678,-0.06051581391045195,0.878567313561174,0.1757924873059081,-0.08442494039006594,0.802878648003212,0.08286720992224142,0.176283873942965,False,2026-08-07T18:17:35.010727+00:00
15024,153,9.603733,97,0.8,-3.918920579999999,-0.009502879292995203,20.542145428061485,0.42401227802038194,0.0003,4464.150676718638,444.64807389947936,0.06108330470539248,-0.20354677839583687,0.8193823113046663,0.1817758918382396,-0.29360476464401963,0.8021965205815725,0.1515667934564684,0.04004334741415435,False,2026-08-07T18:17:36.132581+00:00
20032,204,21.534528,20,0.81,-4.830321109999998,-0.00823146655166056,8.671607396006584,0.41338399760425093,0.0003,1824.875667547666,1084.9878899754046,0.14851142520985688,0.04587075845343956,0.8025726264769419,0.16645534205698673,0.10970260544328392,0.8029047009827728,0.06630685571966925,0.369758959205352,False,2026-08-07T18:17:38.876835+00:00
25040,229,22.788737,21,0.78,-11.732998649999997,0.00079673015861772,5.547136185318232,0.4141186196357012,0.0003,1865.2938843797176,1058.7929422482134,0.14855462502685607,0.04577520680541823,0.802660310834356,0.1664553430651362,0.10970260317335385,0.8029047009827728,0.06638680169441663,0.36975895695336836,False,2026-08-07T18:17:41.561690+00:00
30048,285,23.063117,20,0.77,-11.350314700000002,0.00079673015861772,5.547136185318232,0.4141186196357012,0.0003,4043.9090209366127,487.14053402312646,0.16642042536077303,-0.008081715438109257,0.8708812669304584,0.18137127526688468,0.11826467175724288,0.8028850682544802,0.1442581730946847,0.3788679101034392,False,2026-08-07T18:17:42.800108+00:00
35056,315,-45.516378,119,0.75,-13.149422670000002,-0.004357025238277856,6.363037559390068,0.42430655658245087,0.0003,1710.0909444390531,1149.0289486589522,0.1557485811583808,0.056417929769419416,0.8035070960286683,0.18137127423054603,0.11826466950110275,0.8028850682544802,0.06694720706841191,0.37886790779243323,False,2026-08-07T18:17:45.728571+00:00
40064,366,21.220905,20,0.78,-9.686736040000003,-0.004357025238277856,6.363037559390068,0.42430655658245087,0.0003,4093.478390388808,478.7947591470834,0.1445629628419166,0.031510682410400816,0.8044561590379563,0.17352319212818548,0.0854024971513776,0.8029033292338202,0.0611999498103523,0.34566712566245467,False,2026-08-07T18:17:46.952004+00:00
45072,423,-229.159497,600,0.79,-6.903085430000001,-0.0073700839508092034,10.23712342903018,0.41124556474387647,0.0003,1710.356903686036,1142.9941878135974,0.1554928465186508,0.022834755423809652,0.8256781786019214,0.1735231897584924,0.0854024964697251,0.8029033292335183,0.06898194880321,0.3456671248886169,False,2026-08-07T18:17:49.880045+00:00
50080,478,23.165107,20,0.85,2.2721658099999997,-0.00982125621085288,8.016700322926045,0.4114382054656744,0.0003,1819.8001728739061,1071.5022611084837,0.16002663143817064,-0.1493320138964493,0.8634011968102343,0.13324503442795405,-0.13174586891825563,0.8648327239167568,0.0320714156760876,0.1310150766984267,True,2026-08-07T18:17:52.631990+00:00
